"REDIZO","Jmeno","DatumOd","DatumDo","LinkIZ","PortalLink"
"691007667","Mateřská škola Myšičky, spol. s r. o.","2016-07-11T00:00:00.0000000","2016-07-12T23:59:59.9990000","https://portal.csicr.cz/Files/Get/fa58715c889645e2be4800d094312e98","https://portal.csicr.cz/School/691007667"
"600081923","Dům dětí a mládeže Štětí, Horova 375","2016-07-11T00:00:00.0000000","2016-07-13T23:59:59.9990000","https://portal.csicr.cz/Files/Get/4795801a9b874f538c079590787e401a","https://portal.csicr.cz/School/600081923"
"691004196","Schrödingerův institut - středisko volného času pro Šluknovský výběžek","2016-07-12T00:00:00.0000000","2016-07-14T23:59:59.9990000","https://portal.csicr.cz/Files/Get/bfdc936c046c46dcad7ba5ef476c9bf6","https://portal.csicr.cz/School/691004196"
"600140849","Základní škola a Mateřská škola Tršice, příspěvková organizace","2016-06-07T00:00:00.0000000","2016-07-14T23:59:59.9990000","https://portal.csicr.cz/Files/Get/06466373b7d949f6af7b9519fb12bd9e","https://portal.csicr.cz/School/600140849"
"691007136","Středisko volného času Domeček Chomutov, příspěvková organizace","2016-07-12T00:00:00.0000000","2016-07-15T23:59:59.9990000","https://portal.csicr.cz/Files/Get/838373b3b9cd42ffa1ff01ccfd989420","https://portal.csicr.cz/School/691007136"
"691007209","Soukromá mateřská škola Sluníčko Ostrava Poruba","2016-07-18T00:00:00.0000000","2016-07-19T23:59:59.9990000","https://portal.csicr.cz/Files/Get/200fbeab98764473b626ec5052d6a642","https://portal.csicr.cz/School/691007209"
"600076555","Dům dětí a mládeže Děčín IV, Teplická 344/38, příspěvková organizace","2016-07-26T00:00:00.0000000","2016-07-28T23:59:59.9990000","https://portal.csicr.cz/Files/Get/ceaa1529ba6344848485bfce4351d0f6","https://portal.csicr.cz/School/600076555"
"600029361","Dům dětí a mládeže ""Sluníčko"", Duchcov, Družby 1006, příspěvková organizace","2016-08-09T00:00:00.0000000","2016-08-10T23:59:59.9990000","https://portal.csicr.cz/Files/Get/5c5722cae3cd4fa09fb0839883ee7503","https://portal.csicr.cz/School/600029361"
"600084957","Dům dětí a mládeže Cvrček, Krupka","2016-07-07T00:00:00.0000000","2016-08-11T23:59:59.9990000","https://portal.csicr.cz/Files/Get/15b8aa7740b74554baade1eeb595fc8d","https://portal.csicr.cz/School/600084957"
"610400894","Salesiánské středisko volného času Teplice","2016-08-18T00:00:00.0000000","2016-08-19T23:59:59.9990000","https://portal.csicr.cz/Files/Get/762c5d12f4fe4322a46589e993db0642","https://portal.csicr.cz/School/610400894"
"600081907","Dům dětí a mládeže ELKO Lovosice, Václavské náměstí 1","2016-08-22T00:00:00.0000000","2016-08-24T23:59:59.9990000","https://portal.csicr.cz/Files/Get/53671d713e6c410b82daf4043df15596","https://portal.csicr.cz/School/600081907"
"600077772","Dům dětí a mládeže Jirkov","2016-07-19T00:00:00.0000000","2016-08-30T23:59:59.9990000","https://portal.csicr.cz/Files/Get/d602d67b629e4341a6af22c7886fb4d8","https://portal.csicr.cz/School/600077772"
"600072983","Základní škola Chodov, Školní 697, okres Sokolov, příspěvková organizace","2016-09-13T00:00:00.0000000","2016-09-14T23:59:59.9990000","https://portal.csicr.cz/Files/Get/dc38e1a04ccc4ac99be94ece3157d8bc","https://portal.csicr.cz/School/600072983"
"691003092","Mateřská škola Minisvět U Krtečka s.r.o.","2016-09-12T00:00:00.0000000","2016-09-14T23:59:59.9990000","https://portal.csicr.cz/Files/Get/6805cdafe7a044ee90940ca5b54f86ba","https://portal.csicr.cz/School/691003092"
"650008651","Dětský domov ""Pepa"" Příbram-Lazec, z.ú.","2016-09-13T00:00:00.0000000","2016-09-14T23:59:59.9990000","https://portal.csicr.cz/Files/Get/f4fdfe88072a453cbeda62174975f75f","https://portal.csicr.cz/School/650008651"
"691002860","Univerzitní základní škola a mateřská škola Lvíčata","2016-09-13T00:00:00.0000000","2016-09-15T23:59:59.9990000","https://portal.csicr.cz/Files/Get/b04b59add2724e6394c997ea875a407e","https://portal.csicr.cz/School/691002860"
"600040739","Mateřská škola, Praha 10, Ve Stínu 2103/10, příspěvková organizace","2016-09-13T00:00:00.0000000","2016-09-15T23:59:59.9990000","https://portal.csicr.cz/Files/Get/bf030c23632347b9abec3055e7bb9ed1","https://portal.csicr.cz/School/600040739"
"600026531","Základní škola, Dětský domov a Školní jídelna Litovel","2016-06-14T00:00:00.0000000","2016-09-16T23:59:59.9990000","https://portal.csicr.cz/Files/Get/7a47e9798acb445f85e5329eece6ce26","https://portal.csicr.cz/School/600026531"
"600040151","Mateřská škola, Praha 9 - Hloubětín, Zelenečská 500, příspěvková organizace","2016-09-15T00:00:00.0000000","2016-09-19T23:59:59.9990000","https://portal.csicr.cz/Files/Get/d8d2ade3dd1b4b158fcb504c40b41361","https://portal.csicr.cz/School/600040151"
"665000308","2. Mateřská škola Karlovy Vary, Krušnohorská 16, příspěvková organizace","2016-09-19T00:00:00.0000000","2016-09-20T23:59:59.9990000","https://portal.csicr.cz/Files/Get/2f4a3ca6e67a4225a60dfeb204962178","https://portal.csicr.cz/School/665000308"
"600050904","Základní škola Kostelní Lhota, okres Nymburk","2016-09-19T00:00:00.0000000","2016-09-21T23:59:59.9990000","https://portal.csicr.cz/Files/Get/c7e8fec2206d4cf3872a7c5dbea0b857","https://portal.csicr.cz/School/600050904"
"600043134","ZÁKLADNÍ ŠKOLA SÍDLIŠTĚ 321, ŽEBRÁK","2016-09-15T00:00:00.0000000","2016-09-21T23:59:59.9990000","https://portal.csicr.cz/Files/Get/03b6589a7b924101862bcfb59c95339f","https://portal.csicr.cz/School/600043134"
"600067629","Základní škola Nejdek, náměstí Karla IV., příspěvková organizace","2016-09-19T00:00:00.0000000","2016-09-21T23:59:59.9990000","https://portal.csicr.cz/Files/Get/fbd528a2c3bb48189f4c933f5df45b05","https://portal.csicr.cz/School/600067629"
"600047547","Základní škola a Mateřská škola Dřísy","2016-09-19T00:00:00.0000000","2016-09-21T23:59:59.9990000","https://portal.csicr.cz/Files/Get/821ae0adb31545b6ad5a738af1985421","https://portal.csicr.cz/School/600047547"
"600061671","Mateřská škola Kovářov, okres Písek","2016-09-21T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/be97986a6673425aa8d5f713f438fda6","https://portal.csicr.cz/School/600061671"
"600053407","Základní škola Davle","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/6c5c8f0a41c845e7b258a472ae31eb44","https://portal.csicr.cz/School/600053407"
"600100081","Mateřská škola Karle, okres Svitavy","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/b718c71b95d7410d84cd5a26cf07afc2","https://portal.csicr.cz/School/600100081"
"600065383","Mateřská škola Tlumačov, okres Domažlice","2016-09-20T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/296070c47ce046fdb9cdbbab4c6b70a0","https://portal.csicr.cz/School/600065383"
"600095436","Mateřská škola Staré Hradiště, okres Pardubice","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/b5364895f8b54b25983b80230e4675e9","https://portal.csicr.cz/School/600095436"
"600067416","Základní škola Jana Amose Komenského, Karlovy Vary, Kollárova 19, příspěvková organizace","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/172b1ef1046c42709382c1cae97b3482","https://portal.csicr.cz/School/600067416"
"650004639","Německá škola v Praze s.r.o. - zahraniční škola, základní škola a gymnázium","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/e605f817577d4dabbc06cf24c6502187","https://portal.csicr.cz/School/650004639"
"600100057","Mateřská škola Sebranice, okres Svitavy","2016-09-19T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/cb76ef01597d4d7eb4cbe10e7a084481","https://portal.csicr.cz/School/600100057"
"600170128","Střední odborná škola a Střední odborné učiliště, Kladno, Dubská","2016-09-15T00:00:00.0000000","2016-09-22T23:59:59.9990000","https://portal.csicr.cz/Files/Get/1f675ddd47d84362aff7f76d2d4928c6","https://portal.csicr.cz/School/600170128"
